UUID,putaway zone,volume
A017002,OPT-AA-01-04,220
A017003,OPT-C-01-04,13
A017004,OPT-AA-01-04,14.3
A017005,OPT-AAA-01-04,787.5
A017006,OPT-C-01-04,787.5
A017007,OPT-A-01-04,1825
A017008,OPT-B-01-04,6000
A017009,OPT-B-01-04,143
A017010,OPT-B-01-04,6727
A017011,OPT-B-01-04,2268
A017012,OPT-B-01-04,4400
A017013,OPT-A-01-04,7200
A017014,OPT-AAA-01-04,825
A017015,OPT-A-01-04,605
A017016,OPT-B-01-04,10571
A017017,OPT-B-01-04,2100
A017018,OPT-AAA-01-04,3010.7
A017019,OPT-MDK-14,2465
A017020,OPT-B-01-04,2976
A017021,OPT-A-01-04,2100
A017022,OPT-B-01-04,10571
A017023,OPT-C-01-04,12000
A017024,OPT-C-01-04,5760
A017025,OPT-C-01-04,555.1
A017026,OPT-A-01-04,8568
A017027,OPT-B-01-04,3330
A017028,OPT-B-01-04,9000
A017029,OPT-A-01-04,1920
A017030,OPT-B-01-04,2298.96
A017031,OPT-AA-01-04,680
A017032,OPT-AAA-01-04,1078
A017033,OPT-A-01-04,630
A017034,OPT-AA-01-04,288
A017035,OPT-A-01-04,288
A017036,OPT-B-01-04,2000
A017037,OPT-C-01-04,1680
A017038,OPT-B-01-04,850.5
A017039,OPT-C-01-04,768
A017040,OPT-AA-01-04,25160
A017041,OPT-B-01-04,5598.208
A017042,OPT-A-01-04,315
A017043,OPT-A-01-04,2559.9
A017044,OPT-AA-01-04,1200
A017045,OPT-A-01-04,5096
A017046,OPT-B-01-04,6750
A017047,OPT-C-01-04,1056
A017048,OPT-B-01-04,6000
A017049,OPT-C-01-04,2880
A017050,OPT-A-01-04,1056
A017051,OPT-C-01-04,2760
A017052,OPT-B-01-04,1701
A017053,OPT-B-01-04,4356
A017054,OPT-AA-01-04,2000
A017055,OPT-C-01-04,324
A017056,OPT-C-01-04,9155.16
A017057,OPT-B-01-04,2898.5
A017058,OPT-B-01-04,847
A017059,OPT-B-01-04,11700
A017060,OPT-B-01-04,8330
A017061,OPT-C-01-04,10571
A017062,OPT-AA-01-04,1408
A017063,OPT-C-01-04,1800
A017064,OPT-B-01-04,5880
A017065,OPT-B-01-04,448
A017066,OPT-B-01-04,6727
A017067,OPT-AA-01-04,1200
A017068,OPT-B-01-04,10571
A017069,OPT-C-01-04,938.6
A017070,OPT-A-01-04,952
A017071,OPT-AA-01-04,3500
A017072,OPT-B-01-04,1155
A017073,OPT-B-01-04,875
A017074,OPT-C-01-04,4800
A017075,OPT-B-01-04,1260
A017076,OPT-C-01-04,3648
A017077,OPT-C-01-04,1200
A017078,OPT-B-01-04,9000
A017079,OPT-B-01-04,2112
A017080,OPT-B-01-04,3480
A017081,OPT-B-01-04,5642
A017082,OPT-C-01-04,2070
A017083,OPT-C-01-04,1400
A017084,OPT-B-01-04,195
A017085,OPT-B-01-04,2387
A017086,OPT-C-01-04,358.4
A017087,OPT-B-01-04,1152
A017088,OPT-B-01-04,1008
A017089,OPT-AAA-01-04,13020
A017090,OPT-C-01-04,6000
A017091,OPT-C-01-04,552
A017092,OPT-C-01-04,1086.624
A017093,OPT-B-01-04,153.6
A017094,OPT-C-01-04,240.768
A017095,OPT-B-01-04,198
A017096,OPT-C-01-04,3887
A017097,OPT-A-01-04,2079
A017098,OPT-B-01-04,1820
A017099,OPT-A-01-04,2356
A017100,OPT-C-01-04,3402
A017101,OPT-C-01-04,1260
A017102,OPT-A-01-04,660
A017103,OPT-C-01-04,1716
A017104,OPT-B-01-04,1782
A017105,OPT-B-01-04,4131
A017106,OPT-C-01-04,1980
A017107,OPT-C-01-04,756
A017108,OPT-C-01-04,231
A017109,OPT-C-01-04,231
A017110,OPT-C-01-04,1920
A017111,OPT-C-01-04,1920
A017112,OPT-A-01-04,390
A017113,OPT-B-01-04,331.1
A017114,OPT-C-01-04,324
A017115,OPT-C-01-04,200
A017116,OPT-C-01-04,650
A017117,OPT-B-01-04,1250
A017118,OPT-B-01-04,0
A017119,OPT-C-01-04,342
A017120,OPT-C-01-04,6000
A017121,OPT-A-01-04,858
A017122,OPT-B-01-04,960
A017123,OPT-C-01-04,936
A017124,OPT-C-01-04,784
A017125,OPT-C-01-04,1001
A017126,OPT-C-01-04,720
A017127,OPT-C-01-04,630
A017128,OPT-C-01-04,392
A017129,OPT-C-01-04,400
A017130,OPT-A-01-04,858
A017131,OPT-C-01-04,315
A017132,OPT-C-01-04,480
A017133,OPT-B-01-04,135
A017134,OPT-C-01-04,173.25
A017135,OPT-C-01-04,294
A017136,OPT-B-01-04,294
A017137,OPT-A-01-04,512
A017138,OPT-AAAA-01-04,512
A017139,OPT-C-01-04,1440
A017140,OPT-B-01-04,847
A017141,OPT-MDK-14,8470
A017142,OPT-B-01-04,12757.5
A017143,OPT-AA-01-04,1003
A017144,OPT-MDK-14,14000
A017145,OPT-C-01-04,287
A017146,OPT-B-01-04,1687.2
A017147,OPT-B-01-04,4608
A017148,OPT-B-01-04,7800
A017149,OPT-B-01-04,7392
A017150,OPT-C-01-04,2145
A017151,OPT-C-01-04,2090.853
A017152,OPT-C-01-04,2200
A017153,OPT-A-01-04,8820
A017154,OPT-C-01-04,236.5
A017155,OPT-B-01-04,1716
A017156,OPT-A-01-04,3024
A017157,OPT-B-01-04,1685.1
A017158,OPT-AA-01-04,1980.16
A017159,OPT-C-01-04,446.08
A017160,OPT-A-01-04,1155
A017161,OPT-B-01-04,1140
A017162,OPT-C-01-04,504
A017163,OPT-B-01-04,228
A017164,OPT-B-01-04,300
A017165,OPT-B-01-04,300
A017166,OPT-C-01-04,3465
A017167,OPT-B-01-04,190
A017168,OPT-C-01-04,2100
A017169,OPT-AAA-01-04,34020
A017170,OPT-AAA-01-04,2112
A017171,OPT-C-01-04,1056
A017172,OPT-AA-01-04,2064
A017173,OPT-A-01-04,2179.71
A017174,OPT-A-01-04,2254
A017175,OPT-B-01-04,6750
A017176,OPT-C-01-04,1008
A017177,OPT-C-01-04,900
A017178,OPT-C-01-04,1440
A017179,OPT-B-01-04,2000
A017180,OPT-A-01-04,4536
A017181,OPT-B-01-04,25875
A017182,OPT-AA-01-04,1377
A017183,OPT-B-01-04,10290
A017184,OPT-B-01-04,546.385
A017185,OPT-B-01-04,5670
A017186,OPT-MDK-14,17400
A017187,OPT-C-01-04,926.25
A017188,OPT-B-01-04,683.43
A017189,OPT-C-01-04,1374.75
A017190,OPT-A-01-04,27950
A017191,OPT-C-01-04,225
A017192,OPT-A-01-04,1853.8
A017193,OPT-A-01-04,4320
A017194,OPT-B-01-04,2552
A017195,OPT-AA-01-04,2808
A017196,OPT-C-01-04,3700.125
A017197,OPT-B-01-04,756
A017198,OPT-A-01-04,500
A017199,OPT-C-01-04,5100
A017200,OPT-B-01-04,825
A017201,OPT-AAAA-01-04,60750
A017202,OPT-C-01-04,1166
A017203,OPT-AAA-01-04,1694
A017204,OPT-A-01-04,1944
A017205,OPT-B-01-04,671.6
A017206,OPT-AA-01-04,2352
A017207,OPT-B-01-04,6750
A017208,OPT-B-01-04,1152
A017209,OPT-C-01-04,4800
A017210,OPT-C-01-04,99
A017211,OPT-C-01-04,805
A017212,OPT-AAA-01-04,80.64
A017213,OPT-C-01-04,1120
A017214,OPT-B-01-04,10692
A017215,OPT-A-01-04,292.5
A017216,OPT-C-01-04,4004
A017217,OPT-C-01-04,202.24
A017218,OPT-A-01-04,0
A017219,OPT-A-01-04,54.15
A017220,OPT-A-01-04,2457
A017221,OPT-B-01-04,192
A017222,OPT-B-01-04,320
A017223,OPT-AA-01-04,320
A017224,OPT-A-01-04,2352
A017225,OPT-C-01-04,108
A017226,OPT-B-01-04,192
A017227,OPT-B-01-04,53.312
A017228,OPT-C-01-04,52.326
A017229,OPT-B-01-04,48.672
A017230,OPT-A-01-04,288
A017231,OPT-A-01-04,66.55
A017232,OPT-B-01-04,75.645
A017233,OPT-C-01-04,288
A017234,OPT-B-01-04,338.4
A017235,OPT-B-01-04,32
A017236,OPT-B-01-04,41.971
A017237,OPT-B-01-04,48.598
A017238,OPT-B-01-04,32
A017239,OPT-C-01-04,27
A017240,OPT-B-01-04,40.5
A017241,OPT-C-01-04,27
A017242,OPT-B-01-04,27
A017243,OPT-A-01-04,84
A017244,OPT-B-01-04,13446
A017245,OPT-B-01-04,17496
A017246,OPT-C-01-04,4358.6
A017247,OPT-B-01-04,16416
A017248,OPT-C-01-04,1606.5
A017249,OPT-C-01-04,1980
A017250,OPT-B-01-04,1943.5
A017251,OPT-C-01-04,168
A017252,OPT-C-01-04,0.578
A017253,OPT-B-01-04,200
A017254,OPT-C-01-04,200
A017255,OPT-A-01-04,1232
A017256,OPT-AAAA-01-04,3800
A017257,OPT-C-01-04,148.5
A017258,OPT-A-01-04,67.5
A017259,OPT-B-01-04,2511
A017260,OPT-AA-01-04,60.2
A017261,OPT-B-01-04,105
A017262,OPT-B-01-04,75
A017263,MERAKEZET,63
A017264,OPT-B-01-04,60.2
A017265,OPT-B-01-04,90
A017266,OPT-A-01-04,67.5
A017267,OPT-B-01-04,141.45
A017268,OPT-B-01-04,799.2
A017269,OPT-C-01-04,96000
A017270,OPT-B-01-04,5920
A017271,OPT-B-01-04,96000
A017272,OPT-B-01-04,1852.5
A017273,OPT-B-01-04,5500
A017274,OPT-A-01-04,4488
A017275,OPT-B-01-04,2050
A017276,OPT-B-01-04,3887
A017277,OPT-B-01-04,3400
A017278,OPT-B-01-04,5250
A017279,OPT-B-01-04,2890
A017280,OPT-B-01-04,4400
A017281,OPT-A-01-04,1792
A017282,OPT-C-01-04,10710
A017283,OPT-B-01-04,8120
A017284,OPT-A-01-04,6240
A017285,OPT-B-01-04,3740
A017286,OPT-A-01-04,4680
A017287,OPT-B-01-04,96000
A017288,OPT-B-01-04,96000
A017289,OPT-C-01-04,67.5
A017290,OPT-AAA-01-04,81.9
A017291,OPT-AA-01-04,31.5
A017292,OPT-AAAA-01-04,240
A017293,OPT-C-01-04,256
A017294,OPT-A-01-04,410.7
A017295,OPT-A-01-04,160
A017296,OPT-A-01-04,288
A017297,OPT-C-01-04,256
A017298,OPT-AAAA-01-04,3.575
A017299,OPT-B-01-04,50
A017300,OPT-AA-01-04,12.5
A017301,OPT-B-01-04,25
A017302,OPT-C-01-04,3.575
A017303,OPT-A-01-04,31850
A017304,OPT-C-01-04,75
A017305,OPT-B-01-04,2312
A017306,OPT-C-01-04,120
A017307,OPT-C-01-04,120
A017308,,0.001
A017309,OPT-A-07-11,0.001
A017310,,0.001
A017311,,0.001
A017312,OPT-B-01-04,1334
A017313,OPT-C-01-04,870
A017314,OPT-C-01-04,1196
A017315,OPT-B-01-04,576
A017316,,576
A017317,OPT-B-01-04,756
A017318,OPT-B-01-04,756
A017319,OPT-C-01-04,756
A017320,OPT-B-01-04,1196
A017321,OPT-B-01-04,216
A017322,OPT-C-01-04,216
A017323,OPT-C-01-04,1120
A017324,OPT-A-01-04,242
A017325,OPT-B-01-04,630
A017326,OPT-B-01-04,242
A017327,OPT-C-01-04,156
A017328,OPT-C-01-04,360
A017329,OPT-A-01-04,222.75
A017330,OPT-B-01-04,242
A017331,OPT-AA-01-04,242
A017332,OPT-C-01-04,870
A017333,OPT-C-01-04,242
A017334,OPT-B-01-04,432
A017335,OPT-C-01-04,172.938
A017336,OPT-C-01-04,65.142
A017337,OPT-B-01-04,315.9
A017338,OPT-B-01-04,63.756
A017339,OPT-A-01-04,63.756
A017340,OPT-AA-01-04,64.768
A017341,OPT-C-01-04,176
A017342,OPT-B-01-04,65.142
A017343,OPT-A-01-04,176
A017344,OPT-C-01-04,280.8
A017345,OPT-A-01-04,176
A017346,OPT-C-01-04,63.756
A017347,OPT-A-01-04,10.4
A017348,OPT-C-01-04,42.3
A017349,OPT-B-01-04,237.6
A017350,OPT-AAAA-01-04,0
A017351,OPT-B-01-04,5600
A017352,OPT-C-01-04,840
A017353,OPT-C-01-04,100
A017354,OPT-B-01-04,980
A017355,OPT-B-01-04,484
A017356,OPT-AAAA-01-04,112
A017357,OPT-B-01-04,1930.5
A017358,OPT-A-05-07,1930.5
A017359,,0.001
A017360,OPT-A-01-04,1930.5
A017361,OPT-A-01-04,1930.5
A017362,OPT-A-01-04,1930.5
A017363,OPT-B-01-04,1930.5
A017364,OPT-A-07-11,0.001
A017365,OPT-B-01-04,41.552
A017366,OPT-C-01-04,4.864
A017367,OPT-B-01-04,19.2
A017368,OPT-B-01-04,19.2
A017369,OPT-C-01-04,432
A017370,OPT-C-01-04,6.314
A017371,OPT-C-01-04,140.25
A017372,OPT-AAA-01-04,108
A017373,OPT-AAA-01-04,12096
A017374,OPT-B-01-04,12096
A017375,OPT-AAA-01-04,1788.75
A017376,OPT-B-01-04,1540
A017377,OPT-B-01-04,995.4
A017378,OPT-C-01-04,830.83
A017379,OPT-C-01-04,777.6
A017380,OPT-B-01-04,360
A017381,OPT-B-01-04,580.5
A017382,OPT-B-01-04,580.5
A017383,OPT-AA-01-04,843.75
A017384,OPT-A-01-04,3845.4
A017385,OPT-B-01-04,3676.25
A017386,OPT-C-01-04,1281.8
A017387,OPT-C-01-04,819.91
A017388,OPT-A-01-04,720
A017389,OPT-AA-01-04,720
A017390,OPT-C-01-04,1281.8
A017391,OPT-B-01-04,792
A017392,OPT-B-01-04,720
A017393,OPT-C-01-04,720
A017394,OPT-B-01-04,792
A017395,OPT-A-01-04,720
A017396,OPT-B-01-04,720
A017397,OPT-B-01-04,648
A017398,OPT-B-01-04,336
A017399,OPT-B-01-04,648
A017400,OPT-B-01-04,648
A017401,OPT-B-01-04,1344
A017402,OPT-AA-01-04,384
A017403,OPT-AA-01-04,602
A017404,OPT-A-01-04,700
A017405,OPT-AA-01-04,720
A017406,OPT-C-01-04,0
A017407,OPT-AA-01-04,720
A017408,OPT-B-01-04,841.5
A017409,OPT-AA-01-04,1800
A017410,OPT-B-01-04,720
A017411,OPT-C-01-04,720
A017412,OPT-A-01-04,6750
A017413,OPT-B-01-04,763.2
A017414,OPT-A-01-04,720
A017415,OPT-C-01-04,720
A017416,OPT-C-01-04,763.2
A017417,OPT-B-01-04,1152
A017418,OPT-B-01-04,720
A017419,OPT-B-01-04,720
A017420,OPT-C-01-04,767.75
A017421,OPT-C-01-04,720
A017422,OPT-C-01-04,375
A017423,OPT-C-01-04,895.86
A017424,OPT-B-01-04,360
A017425,OPT-B-01-04,360
A017426,OPT-C-01-04,525
A017427,OPT-C-01-04,1425
A017428,OPT-C-01-04,104500
A017429,OPT-C-01-04,393120
A017430,OPT-C-01-04,198000
A017431,OPT-C-01-04,1240.25
A017432,OPT-C-01-04,720
A017433,OPT-B-01-04,135
A017434,OPT-C-01-04,1.628
A017435,OPT-C-01-04,50
A017436,OPT-B-01-04,16
A017437,OPT-AAA-01-04,2.535
A017438,OPT-B-01-04,1.764
A017439,OPT-C-01-04,50
A017440,OPT-B-01-04,14.7
A017441,OPT-C-01-04,13.5
A017442,OPT-C-01-04,1974.72
A017443,OPT-C-01-04,4400
A017444,OPT-C-01-04,1601.496
A017445,OPT-C-01-04,1125
A017446,OPT-B-01-04,16.17
A017447,OPT-AA-01-04,1.664
A017448,OPT-B-01-04,198
A017449,OPT-C-01-04,20
A017450,OPT-C-01-04,43.2
A017451,OPT-C-01-04,35.64
A017452,OPT-C-01-04,2000
A017453,OPT-C-01-04,130
A017454,OPT-C-01-04,6000
A017455,OPT-C-01-04,3126.5
A017456,OPT-B-01-04,16810
A017457,OPT-C-01-04,16810
A017458,OPT-C-01-04,3100
A017459,OPT-C-01-04,2800
A017460,OPT-A-01-04,2314.375
A017461,OPT-C-01-04,756
A017462,OPT-C-01-04,946.827
A017463,OPT-C-01-04,1716
A017464,OPT-C-01-04,678.832
A017465,OPT-C-01-04,5304
A017466,OPT-A-01-04,300
A017467,OPT-C-01-04,300
A017468,OPT-C-01-04,1026
A017469,OPT-A-05-07,53796.6
A017470,OPT-B-01-04,5940
A017471,OPT-C-01-04,5940
A017472,OPT-B-01-04,589.6
A017473,OPT-B-01-04,589.6
A017474,OPT-C-01-04,242
A017475,OPT-C-01-04,144
A017476,OPT-C-01-04,125.948
A017477,OPT-B-01-04,216
A017478,OPT-A-01-04,589.6
A017479,OPT-C-01-04,242
A017480,OPT-C-01-04,300
A017481,OPT-C-01-04,192
A017482,OPT-C-01-04,264
A017483,OPT-C-01-04,242
A017484,OPT-B-01-04,22200
A017485,OPT-C-01-04,180
A017486,OPT-C-01-04,242
A017487,OPT-C-01-04,1183
A017488,OPT-B-01-04,1690
A017489,OPT-C-01-04,1000
A017490,OPT-C-01-04,170
A017491,OPT-AA-01-04,242
A017492,OPT-A-01-04,242
A017493,OPT-C-01-04,112.225
A017494,OPT-C-01-04,1183
A017495,OPT-C-01-04,242
A017496,OPT-B-01-04,22200
A017497,OPT-B-01-04,3806.25
A017498,OPT-C-01-04,3552.5
A017499,OPT-B-01-04,2756.25
A017500,OPT-B-01-04,105
A017501,OPT-C-01-04,51.45
A017502,OPT-B-01-04,10
A017503,OPT-A-01-04,31.5
A017504,OPT-B-01-04,7560
A017505,OPT-B-01-04,31850
A017506,OPT-AAAA-01-04,31850
A017507,OPT-AAAA-01-04,31850
A017508,OPT-C-01-04,2445.564
A017509,OPT-B-01-04,500
A017510,OPT-AA-01-04,500
A017511,OPT-C-01-04,627.3
A017512,OPT-C-01-04,1427.766
A017513,OPT-AAAA-01-04,4850
A017514,OPT-B-01-04,87.814
A017515,OPT-AAAA-01-04,306
A017516,OPT-C-01-04,128
A017517,OPT-AAA-01-04,1037.61
A017518,OPT-B-01-04,933.849
A017519,OPT-AAA-01-04,16
A017520,OPT-B-01-04,395.08
A017521,OPT-B-01-04,395.08
A017522,OPT-B-01-04,1949.612
A017523,PALLET-C,296400
A017524,PALLET-C,288000
A017525,PALLET-C,336960
A017526,OPT-C-07-11,187134.948
A017527,PALLET-C,194880
A017528,PALLET-C,240000
A017529,PALLET-C,169000
A017530,PALLET-C,91651.5
A017531,PALLET-B,240000
A017532,PALLET-C,240000
A017533,OPT-C-05-07,158368
A017534,PALLET-B,158368
A017535,OPT-C-01-04,144000
A017536,OPT-C-05-07,158368
A017537,PALLET-B,158368
A017538,PALLET-C,0
A017539,PALLET-C,223311
A017540,PALLET-C,316800
A017541,PALLET-C,316800
A017542,PALLET-B,316800
A017543,PALLET-A,316800
A017544,PALLET-C,316800
A017545,PALLET-A,291852
A017546,PALLET-C,343200
A017547,PALLET-A,287496
A017548,OPT-C-01-04,144000
A017549,PALLET-C,316800
A017550,OPT-B-01-04,0
A017551,OPT-C-01-04,3511.25
A017552,OPT-C-01-04,4228.2
A017553,OPT-B-01-04,3920
A017554,OPT-A-01-04,4704
A017555,OPT-B-01-04,4770
A017556,OPT-B-05-07,4770
A017557,OPT-B-01-04,3863.7
A017558,OPT-A-01-04,3510
A017559,OPT-B-01-04,3863.7
A017560,OPT-B-01-04,3863.7
A017561,OPT-C-05-07,1350000
A017562,OPT-MDK-14,3863.7
A017563,OPT-A-01-04,11532
A017564,,11532
A017565,OPT-A-01-04,5580
A017566,OPT-B-01-04,9000
A017567,OPT-A-01-04,2875
A017568,OPT-A-01-04,5096
A017569,OPT-C-01-04,1452
A017570,OPT-B-01-04,30000
A017571,OPT-C-01-04,1675.8
A017572,OPT-B-01-04,1694
A017573,OPT-A-01-04,1936
A017574,OPT-B-01-04,30000
A017575,OPT-C-01-04,1499.4
A017576,OPT-C-01-04,1354.5
A017577,OPT-B-01-04,1499.4
A017578,OPT-C-01-04,1764
A017579,OPT-B-01-04,1197.875
A017580,OPT-A-01-04,12012
A017581,OPT-A-01-04,3510
A017582,OPT-B-01-04,1499.4
A017583,OPT-A-01-04,1875
A017584,OPT-A-01-04,30000
A017585,OPT-A-01-04,2800
A017586,OPT-A-01-04,0
A017587,OPT-B-01-04,0
A017588,OPT-C-01-04,864
A017589,OPT-C-01-04,107.653
A017590,OPT-C-01-04,137.7
A017591,OPT-C-01-04,27621
A017592,OPT-C-01-04,3920
A017593,OPT-C-01-04,2640
A017594,OPT-C-01-04,3072
A017595,OPT-B-01-04,1792
A017596,OPT-C-01-04,4900.5
A017597,OPT-C-01-04,10240
A017598,OPT-C-01-04,115.2
A017599,OPT-C-01-04,605
A017600,OPT-C-01-04,60
A017601,OPT-AA-01-04,140.8
A017602,OPT-C-01-04,13328
A017603,OPT-C-01-04,13328
A017604,OPT-C-01-04,14463.75
A017605,OPT-C-01-04,18000
A017606,OPT-C-01-04,18000
A017607,OPT-C-01-04,11037.25
A017608,OPT-C-01-04,18000
A017609,OPT-C-01-04,11037.25
A017610,OPT-C-01-04,14214.375
A017611,OPT-C-01-04,18000
A017612,OPT-C-01-04,18000
A017613,OPT-B-01-04,14
A017614,OPT-C-01-04,11037.25
A017615,OPT-C-01-04,28800
A017616,OPT-C-01-04,7056
A017617,OPT-C-01-04,56
A017618,OPT-C-01-04,56
A017619,OPT-A-01-04,180.873
A017620,OPT-B-01-04,542.619
A017621,OPT-AA-01-04,116
A017622,OPT-AA-01-04,478.4
A017623,OPT-C-01-04,24.2
A017624,OPT-A-01-04,19.881
A017625,OPT-B-01-04,17.672
A017626,OPT-A-01-04,24.2
A017627,OPT-C-01-04,46.875
A017628,OPT-C-01-04,3431.4
A017629,OPT-B-01-04,2240
A017630,OPT-C-01-04,1320
A017631,OPT-C-01-04,4360.5
A017632,OPT-C-01-04,1875
A017633,OPT-C-01-04,3480
A017634,OPT-C-01-04,1686.555
A017635,OPT-A-01-04,532
A017636,OPT-C-01-04,2250
A017637,OPT-C-01-04,3326.4
A017638,OPT-C-01-04,2184
A017639,OPT-C-01-04,2080
A017640,OPT-C-01-04,20
A017641,OPT-C-01-04,3900
A017642,OPT-C-01-04,273
A017643,OPT-A-01-04,3485
A017644,OPT-A-01-04,158.4
A017645,OPT-B-01-04,40
A017646,OPT-C-01-04,2415
A017647,OPT-B-01-04,1156
A017648,OPT-C-01-04,2079
A017649,OPT-C-01-04,900
A017650,OPT-B-01-04,1584
A017651,OPT-B-01-04,4900
A017652,OPT-A-01-04,1080
A017653,OPT-C-01-04,875
A017654,OPT-C-01-04,406.72
A017655,OPT-A-01-04,120
A017656,OPT-AAAA-01-04,0
A017657,OPT-A-01-04,0
A017658,OPT-C-01-04,94
A017659,OPT-B-01-04,396
A017660,OPT-B-01-04,562.5
A017661,OPT-A-01-04,158.4
A017662,OPT-B-01-04,90
A017663,OPT-B-01-04,1224
A017664,OPT-C-01-04,391.5
A017665,OPT-B-01-04,80
A017666,OPT-A-01-04,270
A017667,OPT-C-01-04,1410.5
A017668,OPT-C-01-04,2250
A017669,OPT-A-01-04,56
A017670,OPT-C-01-04,152
A017671,OPT-B-01-04,2720
A017672,OPT-B-01-04,2730
A017673,OPT-C-01-04,136.5
A017674,OPT-C-01-04,252
A017675,OPT-C-01-04,189
A017676,OPT-C-01-04,252
A017677,OPT-B-01-04,2450
A017678,OPT-A-01-04,0
A017679,OPT-C-01-04,200
A017680,OPT-A-01-04,262.5
A017681,OPT-B-01-04,198
A017682,OPT-B-01-04,15300
A017683,OPT-C-01-04,796.25
A017684,OPT-C-01-04,325.6
A017685,OPT-A-01-04,349.6
A017686,OPT-C-01-04,2420
A017687,OPT-C-01-04,14
A017688,OPT-C-01-04,874.72
A017689,OPT-C-01-04,14
A017690,OPT-A-01-04,91872
A017691,OPT-B-01-04,667.575
A017692,OPT-C-01-04,561.808
A017693,OPT-B-01-04,655.2
A017694,OPT-C-01-04,787.5
A017695,OPT-C-01-04,49.147
A017696,OPT-AA-01-04,5.576
A017697,OPT-B-01-04,28.672
A017698,OPT-A-01-04,252
A017699,OPT-C-01-04,468
A017700,OPT-A-01-04,360
A017701,OPT-A-01-04,294
A017702,OPT-C-01-04,294
A017703,OPT-C-01-04,632.5
A017704,OPT-B-01-04,18
A017705,OPT-B-01-04,18
A017706,OPT-A-01-04,190.125
A017707,OPT-A-01-04,286.875
A017708,OPT-B-01-04,213.712
A017709,OPT-A-01-04,286.875
A017710,,0
A017711,OPT-C-01-04,286.875
A017712,OPT-AAAA-01-04,224
A017713,OPT-AA-01-04,286.875
A017714,OPT-C-01-04,240
A017715,OPT-C-01-04,10848.32
A017716,OPT-C-01-04,294
A017717,OPT-C-05-07,525000
A017718,OPT-C-01-04,114
A017719,OPT-C-01-04,204
A017720,OPT-C-01-04,84.24
A017721,OPT-C-01-04,403.332
A017722,OPT-A-01-04,132.275
A017723,OPT-C-01-04,31.392
A017724,OPT-B-01-04,140
A017725,OPT-C-01-04,83.72
A017726,OPT-A-01-04,2100
A017727,OPT-A-01-04,8400
A017728,CANTI-LIGHT,8400
A017729,CANTI-LIGHT,8400
A017730,OPT-B-01-04,3480
A017731,CANTI-LIGHT,35200
A017732,OPT-B-01-04,3480
A017733,MERAKEZET,1152
A017734,OPT-B-01-04,336
A017735,OPT-B-01-04,14000
A017736,CANTI-LIGHT,4344
A017737,OPT-B-01-04,1625
A017738,OPT-B-01-04,2646
A017739,MERAKEZET,4344
A017740,OPT-C-01-04,3480
A017741,OPT-C-01-04,2610
A017742,OPT-A-01-04,8400
A017743,CANTI-LIGHT,6300
A017744,OPT-C-01-04,2610
A017745,OPT-C-01-04,1334
A017746,OPT-C-01-04,1573
A017747,OPT-B-01-04,2409.75
A017748,OPT-C-01-04,2970
A017749,OPT-B-01-04,1190
A017750,OPT-C-01-04,3068
A017751,OPT-C-01-04,1007.5
A017752,OPT-C-01-04,2106
A017753,OPT-C-01-04,1850
A017754,OPT-A-01-04,768.57
A017755,OPT-C-01-04,2325
A017756,OPT-B-01-04,1296
A017757,OPT-C-01-04,331.1
A017758,OPT-C-01-04,1007.5
A017759,,0
A017760,OPT-AA-01-04,883.2
A017761,OPT-C-01-04,13387.5
A017762,OPT-C-05-07,5280
A017763,OPT-C-07-11,84672
A017764,OPT-C-01-04,3360
A017765,OPT-C-01-04,130
A017766,OPT-C-01-04,162
A017767,OPT-C-01-04,243
A017768,OPT-C-01-04,522.5
A017769,OPT-C-01-04,18.515
A017770,OPT-C-01-04,1340.67
A017771,OPT-C-01-04,750
A017772,OPT-C-01-04,250
A017773,OPT-C-01-04,276
A017774,OPT-C-01-04,281.75
A017775,OPT-C-01-04,2016
A017776,OPT-B-01-04,136.4
A017777,OPT-C-01-04,2240
A017778,OPT-A-01-04,158.202
A017779,OPT-B-01-04,8
A017780,OPT-B-01-04,144
A017781,OPT-B-01-04,53.625
A017782,PALLET-C,240000
A017783,PALLET-C,255440
A017784,PALLET-C,255440
A017785,PALLET-C,240000
A017786,PALLET-C,0
A017787,PALLET-B,0
A017788,OPT-C-01-04,0
A017789,OPT-C-01-04,4607.375
A017790,OPT-C-01-04,4725
A017791,OPT-C-01-04,4347.75
A017792,OPT-C-01-04,1068.75
A017793,OPT-B-01-04,1155.96
A017794,OPT-C-01-04,1260
A017795,OPT-C-01-04,610.17
A017796,OPT-C-01-04,1792
A017797,OPT-C-01-04,900.144
A017798,OPT-C-01-04,3392
A017799,OPT-AAA-01-04,0
A017800,OPT-C-01-04,768
A017801,OPT-C-01-04,3000
A017802,OPT-B-01-04,3420
A017803,OPT-B-01-04,1600
A017804,OPT-B-01-04,7942
A017805,OPT-C-01-04,2560
A017806,OPT-B-01-04,15466
A017807,OPT-C-01-04,14
A017808,OPT-C-01-04,135
A017809,OPT-C-01-04,468
A017810,OPT-C-01-04,256
A017811,OPT-C-01-04,3420
A017812,OPT-C-01-04,147
A017813,OPT-C-01-04,151.9
A017814,OPT-C-01-04,1147.5
A017815,OPT-C-01-04,10.725
A017816,OPT-C-01-04,33.6
A017817,OPT-B-01-04,318.291
A017818,OPT-C-01-04,33.6
A017819,OPT-C-01-04,22.4
A017820,OPT-C-01-04,612.5
A017821,OPT-C-01-04,12800
A017822,OPT-C-01-04,2500
