UUID,putaway zone,volume
A000452,OPT-AA-01-04,113.68
A000453,OPT-AAAA-01-04,110.808
A000454,OPT-A-01-04,116.64
A000455,OPT-C-01-04,126.846
A000456,OPT-C-01-04,31.5
A000457,OPT-C-01-04,42.284
A000458,OPT-AA-01-04,44.1
A000459,OPT-C-01-04,48.6
A000460,OPT-A-01-04,65.34
A000461,OPT-C-01-04,71.68
A000462,OPT-A-01-04,66.6
A000463,OPT-B-01-04,72
A000464,OPT-C-01-04,92.565
A000465,OPT-C-01-04,97.28
A000466,OPT-C-01-04,90
A000467,OPT-B-01-04,102.6
A000468,OPT-C-01-04,111.6
A000469,OPT-C-01-04,148.955
A000470,OPT-C-01-04,48.6
A000471,OPT-C-01-04,71.1
A000472,OPT-C-01-04,139.5
A000473,OPT-C-01-04,25.92
A000474,OPT-C-01-04,44.1
A000475,OPT-C-01-04,36
A000476,OPT-C-01-04,86.49
A000477,OPT-A-01-04,110.976
A000478,OPT-AAAA-01-04,41.553
A000479,OPT-C-01-04,51.759
A000480,OPT-C-01-04,51.759
A000481,OPT-AA-01-04,10.8
A000482,OPT-C-01-04,51.894
A000483,,7.106
A000484,OPT-AAA-01-04,1.215
A000485,OPT-C-01-04,3.024
A000486,OPT-C-01-04,12.789
A000487,OPT-C-01-04,26.624
A000488,OPT-B-01-04,21.641
A000489,OPT-C-01-04,120.96
A000490,OPT-B-01-04,18.515
A000491,OPT-AAAA-01-04,49.41
A000492,OPT-C-01-04,52.488
A000493,OPT-C-01-04,294.4
A000494,OPT-C-01-04,161.16
A000495,OPT-C-01-04,280
A000496,OPT-C-01-04,195.84
A000497,OPT-C-01-04,23.66
A000498,,58.029
A000499,OPT-B-01-04,23.805
A000500,OPT-C-01-04,60.264
A000501,OPT-C-01-04,77.004
A000502,OPT-A-01-04,50.255
A000503,OPT-AAA-01-04,66.816
A000504,OPT-B-01-04,26.656
A000505,OPT-C-01-04,236.16
A000506,OPT-C-01-04,26.496
A000507,OPT-A-01-04,23.52
A000508,OPT-A-01-04,108.544
A000509,OPT-C-01-04,34.8
A000510,OPT-AAA-01-04,2.752
A000511,OPT-B-01-04,17.856
A000512,OPT-AAAA-01-04,9.72
A000513,OPT-B-01-04,0
A000514,OPT-C-01-04,175
A000515,OPT-C-01-04,25.92
A000516,OPT-C-01-04,9.728
A000517,OPT-A-01-04,10.78
A000518,OPT-A-01-04,13.932
A000519,OPT-C-01-04,7.776
A000520,OPT-C-01-04,8.092
A000521,OPT-C-01-04,9.537
A000522,OPT-C-01-04,10.982
A000523,OPT-C-01-04,13.932
A000524,OPT-MDK-14,13.872
A000525,OPT-B-01-04,14.036
A000526,OPT-B-01-04,14.994
A000527,OPT-A-01-04,18.963
A000528,OPT-C-01-04,15.3
A000529,OPT-AAA-01-04,45
A000530,OPT-C-01-04,60
A000531,OPT-C-01-04,3.887
A000532,OPT-AAAA-01-04,5.292
A000533,OPT-C-01-04,9.212
A000534,OPT-A-01-04,7.776
A000535,OPT-AAAA-01-04,8.092
A000536,OPT-AAAA-01-04,10.692
A000537,OPT-A-01-04,10.693
A000538,OPT-C-01-04,15.523
A000539,OPT-AAA-01-04,11.56
A000540,OPT-AA-01-04,11.925
A000541,OPT-AAA-01-04,16.762
A000542,OPT-AAAA-01-04,18.207
A000543,OPT-B-01-04,19.652
A000544,OPT-B-01-04,21.097
A000545,OPT-AAA-01-04,19.456
A000546,OPT-C-01-04,25.432
A000547,OPT-C-01-04,34.992
A000548,OPT-C-01-04,38.232
A000549,OPT-C-01-04,39.882
A000550,OPT-C-01-04,42.483
A000551,OPT-C-01-04,50.868
A000552,OPT-C-01-04,54.108
A000553,OPT-A-01-04,23.987
A000554,OPT-C-01-04,30.78
A000555,OPT-C-01-04,29.767
A000556,OPT-C-01-04,37.26
A000557,OPT-C-01-04,43.928
A000558,OPT-C-01-04,14.036
A000559,OPT-AAAA-01-04,14
A000560,OPT-AAAA-01-04,17.199
A000561,OPT-A-01-04,19.404
A000562,OPT-AAAA-01-04,23.716
A000563,OPT-AAAA-01-04,23.814
A000564,OPT-C-01-04,26.019
A000565,OPT-B-01-04,30.976
A000566,OPT-A-01-04,33.396
A000567,OPT-C-01-04,32.634
A000568,OPT-C-01-04,31.2
A000569,OPT-C-01-04,47.081
A000570,OPT-A-01-04,48.4
A000571,OPT-AAAA-01-04,52.272
A000572,OPT-AAAA-01-04,52.92
A000573,OPT-AAAA-01-04,51.2
A000574,OPT-AAAA-01-04,67.276
A000575,OPT-C-01-04,74.97
A000576,OPT-C-01-04,91.96
A000577,OPT-C-01-04,64.856
A000578,OPT-B-01-04,25.625
A000579,OPT-C-01-04,31.096
A000580,OPT-AAAA-01-04,31.875
A000581,OPT-AAAA-01-04,41.25
A000582,OPT-C-01-04,44.375
A000583,OPT-C-01-04,51.25
A000584,OPT-C-01-04,56.25
A000585,OPT-AAAA-01-04,68.276
A000586,OPT-C-01-04,68.75
A000587,OPT-C-01-04,88.125
A000588,OPT-B-01-04,101.25
A000589,OPT-C-01-04,78.125
A000590,OPT-C-01-04,54.375
A000591,OPT-MDK-14,82.8
A000592,OPT-MDK-14,62.424
A000593,OPT-C-01-04,10.692
A000594,OPT-C-01-04,7.425
A000595,OPT-AAAA-01-04,2
A000596,OPT-C-01-04,14.45
A000597,OPT-C-01-04,14.58
A000598,OPT-C-01-04,0.735
A000599,OPT-C-01-04,1.539
A000600,OPT-C-01-04,4.176
A000601,OPT-AA-01-04,2.904
A000602,OPT-C-01-04,2.511
A000603,OPT-C-01-04,3.528
A000604,OPT-C-01-04,3.146
A000605,OPT-A-01-04,5.239
A000606,OPT-C-01-04,6.912
A000607,OPT-C-01-04,7
A000608,OPT-C-01-04,22.32
A000609,OPT-C-01-04,2.496
A000610,OPT-C-01-04,3.584
A000611,OPT-C-01-04,20.736
A000612,OPT-A-01-04,15.12
A000613,OPT-C-01-04,16.416
A000614,OPT-B-01-04,21.888
A000615,OPT-C-01-04,1.28
A000616,OPT-AAAA-01-04,2.24
A000617,OPT-C-01-04,4.8
A000618,OPT-C-01-04,1.984
A000619,OPT-C-01-04,3.7
A000620,OPT-C-01-04,3.7
A000621,OPT-AAAA-01-04,20.16
A000622,OPT-C-01-04,0.784
A000623,OPT-C-01-04,2.349
A000624,OPT-A-01-04,1.7
A000625,OPT-C-01-04,3.3
A000626,OPT-AAA-01-04,3.6
A000627,OPT-C-01-04,1.7
A000628,OPT-C-01-04,2.7
A000629,OPT-B-01-04,3.168
A000630,OPT-C-01-04,3.456
A000631,OPT-C-01-04,4.176
A000632,OPT-C-01-04,7.68
A000633,OPT-AAAA-01-04,0.625
A000634,OPT-AAA-01-04,2.736
A000635,OPT-C-01-04,16.704
A000636,OPT-C-01-04,9.537
A000637,OPT-AA-01-04,13.2
A000638,OPT-C-01-04,5.625
A000639,OPT-C-01-04,6.656
A000640,OPT-AAA-01-04,7.68
A000641,OPT-AAA-01-04,4.312
A000642,OPT-AAA-01-04,13.2
A000643,OPT-C-01-04,4.5
A000644,OPT-C-01-04,0.768
A000645,OPT-C-01-04,1.782
A000646,OPT-B-01-04,0.832
A000647,OPT-C-01-04,0.96
A000648,OPT-C-01-04,1.127
A000649,,3.392
A000650,OPT-C-01-04,1.62
A000651,OPT-A-01-04,11.988
A000652,OPT-C-01-04,3.8
A000653,OPT-C-01-04,4.563
A000654,OPT-C-01-04,1.872
A000655,OPT-C-01-04,2.736
A000656,,3.61
A000657,OPT-B-01-04,0.72
A000658,OPT-C-01-04,15.138
A000659,OPT-B-01-04,8.464
A000660,OPT-AAAA-01-04,12.168
A000661,OPT-A-01-04,14.112
A000662,OPT-A-01-04,75
A000663,OPT-C-01-04,4.624
A000664,OPT-A-01-04,5.415
A000665,OPT-C-01-04,6.615
A000666,OPT-A-01-04,13.122
A000667,OPT-C-01-04,18
A000668,OPT-C-01-04,19.22
A000669,OPT-C-01-04,44.55
A000670,OPT-C-01-04,31.941
A000671,OPT-C-01-04,4.86
A000672,OPT-C-01-04,7.056
A000673,OPT-C-01-04,15.138
A000674,OPT-C-01-04,37.044
A000675,OPT-C-01-04,1.859
A000676,OPT-B-01-04,5.415
A000677,OPT-C-01-04,18.954
A000678,OPT-A-01-04,24.3
A000679,OPT-C-01-04,8.8
A000680,OPT-C-01-04,14.25
A000681,OPT-C-01-04,12.393
A000682,OPT-C-01-04,2.912
A000683,OPT-C-01-04,5.415
A000684,OPT-C-01-04,102.789
A000685,OPT-C-01-04,56.4
A000686,OPT-C-01-04,103.092
A000687,,96.715
A000688,OPT-C-01-04,2.736
A000689,OPT-C-01-04,1.568
A000690,OPT-C-01-04,14.4
A000691,OPT-B-01-04,0.288
A000692,OPT-AAAA-01-04,0.5
A000693,OPT-A-01-04,1.365
A000694,OPT-A-01-04,2.888
A000695,OPT-C-01-04,3.402
A000696,OPT-C-01-04,4.18
A000697,OPT-AAA-01-04,4.41
A000698,OPT-C-01-04,6.05
A000699,OPT-AA-01-04,2.584
A000700,OPT-C-01-04,13.5
A000701,OPT-C-01-04,30.258
A000702,OPT-AAAA-01-04,6.05
A000703,OPT-C-01-04,8.424
A000704,OPT-AAAA-01-04,3.99
A000705,OPT-C-01-04,0
A000706,OPT-B-01-04,0.32
A000707,OPT-C-01-04,1.372
A000708,OPT-C-01-04,0.363
A000709,OPT-C-01-04,3.3
A000710,OPT-C-01-04,1.53
A000711,OPT-C-01-04,2.166
A000712,OPT-C-01-04,4.032
A000713,OPT-C-01-04,7.533
A000714,OPT-C-01-04,8.019
A000715,OPT-C-01-04,4.032
A000716,OPT-B-01-04,2.04
A000717,OPT-B-01-04,3.9
A000718,OPT-B-01-04,5.022
A000719,OPT-AA-01-04,6.3
A000720,OPT-C-01-04,7.488
A000721,OPT-C-01-04,11.664
A000722,OPT-A-01-04,22.44
A000723,OPT-C-01-04,15.979
A000724,OPT-C-01-04,23.12
A000725,OPT-C-01-04,23.12
A000726,OPT-C-01-04,30.625
A000727,OPT-C-01-04,12.544
A000728,OPT-C-01-04,19.602
A000729,OPT-C-01-04,23.273
A000730,OPT-C-01-04,23.12
A000731,OPT-C-01-04,3.61
A000732,OPT-AAAA-01-04,7.488
A000733,OPT-AAA-01-04,1.183
A000734,OPT-B-01-04,2.592
A000735,OPT-C-01-04,2.048
A000736,OPT-AAAA-01-04,4.41
A000737,OPT-C-01-04,2.601
A000738,OPT-AAAA-01-04,2.592
A000739,OPT-C-01-04,1.014
A000740,OPT-C-01-04,3.087
A000741,OPT-AAA-01-04,7.26
A000742,OPT-C-01-04,7.497
A000743,OPT-C-01-04,0.66
A000744,OPT-AAA-01-04,4.788
A000745,OPT-C-01-04,7.7
A000746,OPT-AA-01-04,7.392
A000747,OPT-C-01-04,18
A000748,OPT-A-01-04,1.17
