location,fetch_tool,horizontal_movement_time,vertical_movement_time,remove_from_shelf_time
102201,PALLET_JACK,16.07388461538462,,19.78
110301,PALLET_JACK,10.642346153846155,,17.93
110401,PALLET_JACK,11.222346153846154,,20.68
111101,PALLET_JACK,15.026961538461538,,27.7
111901,PALLET_JACK,19.471576923076924,,33.2
400401,PALLET_JACK,13.437298076923076,,28.44
500201,PALLET_JACK,15.942346153846156,,27.63
500401,PALLET_JACK,16.088500000000003,,23.93
500901,PALLET_JACK,14.018355769230771,,31.19
502101,PALLET_JACK,20.760471153846154,,22.01
601301,PALLET_JACK,20.084653846153845,,30.85
602201,PALLET_JACK,23.089269230769233,,26.07
602501,PALLET_JACK,25.201576923076924,,26.43
011708,ORDER_PICKER,23.224326923076923,6.033092912388388,27.58
020209,ORDER_PICKER,17.313942307692308,8.25213292371344,25.64
020326,ORDER_PICKER,16.806634615384617,22.618305808172465,30.26
020913,ORDER_PICKER,17.994711538461537,10.292167581565815,31.66
021010,ORDER_PICKER,21.764711538461537,7.251499848705204,40.46
021609,ORDER_PICKER,24.812788461538464,10.047596511416943,15.0
021807,ORDER_PICKER,23.035480769230773,6.889697869218699,11.42
022112,ORDER_PICKER,27.67086538461539,12.278953459336826,22.69
030520,ORDER_PICKER,17.407046703296707,16.781081589827924,26.56
030915,ORDER_PICKER,19.87480769230769,12.34454129468158,32.67
031007,ORDER_PICKER,17.634807692307692,7.194951762293456,23.65
032405,ORDER_PICKER,28.97365384615385,7.162009899684788,13.36
032607,ORDER_PICKER,21.706346153846155,7.81970444013292,20.08
032819,ORDER_PICKER,27.51903846153846,17.59974520030515,30.99
032931,ORDER_PICKER,29.911730769230772,23.773351151386937,29.46
040107,ORDER_PICKER,11.282067307692309,6.804695722924393,25.56
041029,ORDER_PICKER,18.058605769230773,30.192103803101773,21.69
041213,ORDER_PICKER,19.455528846153847,14.724415504692947,27.32
041428,ORDER_PICKER,21.747242132867132,28.28526718222832,29.75
041628,ORDER_PICKER,23.760913461538465,27.482809559968924,28.25
042212,ORDER_PICKER,22.955267857142857,12.849111467162672,30.05
042521,ORDER_PICKER,23.124375,20.957981019340863,30.33
042612,ORDER_PICKER,28.246751373626374,14.491820309211176,23.57
042707,ORDER_PICKER,28.99706730769231,7.138155623677788,31.18
050611,ORDER_PICKER,15.03548076923077,20.68668932637738,21.84
050723,ORDER_PICKER,17.478173076923078,20.00678390979852,34.42
051319,ORDER_PICKER,20.18625,16.846443060896245,35.43
051823,ORDER_PICKER,21.891813186813188,30.25053815525884,27.4
052217,ORDER_PICKER,23.0932967032967,31.160488281299354,25.37
052619,ORDER_PICKER,27.442403846153848,33.38766349395207,15.87
060505,ORDER_PICKER,11.479951923076925,10.518186233225421,30.67
060615,ORDER_PICKER,16.809951923076923,27.435605601212984,27.86
061128,ORDER_PICKER,22.435985576923077,31.991922981377332,20.19
061225,ORDER_PICKER,16.449059065934065,31.17013233210306,22.88
061523,ORDER_PICKER,21.483413461538465,33.18225042410453,21.98
061717,ORDER_PICKER,15.606105769230773,27.15650167368769,28.34
070815,ORDER_PICKER,16.78033653846154,29.485199378735185,24.84
071528,ORDER_PICKER,24.613774038461536,27.023437004828978,33.03
071921,ORDER_PICKER,17.676490384615388,29.411422269672624,30.65
072207,ORDER_PICKER,21.559182692307697,12.529185367729852,34.06
072209,ORDER_PICKER,20.149182692307697,20.242634956770555,15.34
072523,ORDER_PICKER,27.46456730769231,30.542167936686173,22.62
073005,ORDER_PICKER,27.789951923076927,8.893592664190773,34.2
080309,ORDER_PICKER,12.49264423076923,19.80380600225481,18.74
081607,ORDER_PICKER,15.558798076923079,14.025086725956864,27.88
