uuid,location,quantity
A015360,012721,1.0
A015376,012721,1.0
A016016,012721,3.0
A016121,012721,2.0
A017038,012721,2.0
A023072,012721,1.0
A024418,012721,2.0
A024745,012721,7.0
A025400,012721,2.0
A026155,012721,3.0
A027050,012721,2.0
A027162,012721,1.0
A027200,012721,1.0
A027283,012721,2.0
A027587,012721,3.0
A027870,012721,2.0
A027890,012721,2.0
A028302,012721,2.0
A029128,012721,1.0
A029618,012721,1.0
A000139,040203,20.0
A016996,040203,1.0
A017380,040203,2.0
A018119,040203,1.0
A018620,040203,12.0
A022309,040203,5.0
A027265,040203,1.0
A000144,010111,2.0
A000283,010111,30.0
A000407,010111,9.0
A000546,010111,10.0
A007466,010111,2.0
A013757,010111,8.0
A000146,011007,1.0
A000166,011007,17.0
A000277,011007,10.0
A001374,011007,8.0
A001732,011007,100.0
A001761,011007,5.0
A001780,011007,5.0
A004386,011007,63.0
A004851,011007,1.0
A007595,011007,10.0
A007718,011007,1.0
A008946,011007,1.0
A009278,011007,1.0
A011073,011007,3.0
A014596,011007,8.0
A015525,011007,4.0
A017913,011007,3.0
A000149,040703,40.0
A000233,040703,3.0
A004504,040703,103.0
A014741,040703,31.0
A014796,040703,23.0
A015647,040703,6.0
A015999,040703,42.0
A016456,040703,4.0
A017067,040703,5.0
A017872,040703,1.0
A017976,040703,3.0
A021186,040703,7.0
A022760,040703,10.0
A026509,040703,20.0
A000152,011810,6.0
A000170,011810,17.0
A000837,011810,3.0
A000850,011810,439.0
A001484,011810,4.0
A001526,011810,2.0
A001542,011810,6.0
A001616,011810,13.0
A001758,011810,5.0
A001762,011810,5.0
A001773,011810,5.0
A003769,011810,1.0
A004616,011810,1.0
A004801,011810,1.0
A004897,011810,5.0
A005053,011810,1.0
A005428,011810,3.0
A006751,011810,1.0
A007375,011810,1.0
A007659,011810,2.0
A008353,011810,1.0
A008942,011810,1.0
A010370,011810,1.0
A012426,011810,5.0
A012781,011810,6.0
A012994,011810,5.0
A013334,011810,3.0
A013580,011810,10.0
A013681,011810,3.0
A014007,011810,1.0
A014548,011810,9.0
A015109,011810,14.0
A015216,011810,2.0
A015242,011810,2.0
A018684,011810,1.0
A019756,011810,2.0
A020910,011810,3.0
A022685,011810,1.0
A024168,011810,3.0
A024739,011810,2.0
A025260,011810,4.0
A026164,011810,1.0
A026165,011810,2.0
A027490,011810,6.0
A029073,011810,1.0
A029234,011810,2.0
A000155,011512,7.0
A001003,011512,1.0
A001245,011512,15.0
A001666,011512,686.0
A002982,011512,1.0
A004841,011512,1.0
A005169,011512,3.0
A007568,011512,335.0
A012713,011512,1.0
A012797,011512,10.0
A013268,011512,2.0
A013538,011512,1.0
A014012,011512,1.0
A014560,011512,20.0
A015188,011512,4.0
A015720,011512,1.0
A015794,011512,4.0
A015795,011512,1.0
A015942,011512,1.0
A015947,011512,2.0
A016047,011512,1.0
A016086,011512,2.0
A016796,011512,2.0
A016810,011512,3.0
A016921,011512,31.0
A017050,011512,4.0
A017175,011512,2.0
A017231,011512,3.0
A017652,011512,3.0
A017659,011512,1.0
A017681,011512,2.0
A017906,011512,2.0
A017975,011512,3.0
A018183,011512,2.0
A018661,011512,1.0
A018731,011512,1.0
A018962,011512,3.0
A019218,011512,1.0
A019529,011512,5.0
A019749,011512,2.0
A019996,011512,4.0
A019997,011512,3.0
A020144,011512,1.0
A020707,011512,4.0
A020952,011512,1.0
A022456,011512,4.0
A022507,011512,2.0
A023006,011512,6.0
A024108,011512,2.0
A024182,011512,2.0
A025420,011512,1.0
A026452,011512,3.0
A027019,011512,1.0
A027076,011512,2.0
A027220,011512,1.0
A027242,011512,2.0
A027347,011512,2.0
A027999,011512,1.0
A029354,011512,3.0
A029617,011512,1.0
A000163,402609,6.0
A000472,402609,3.0
A000473,402609,6.0
A000777,402609,5.0
A001037,402609,4.0
A001057,402609,1.0
A001072,402609,1.0
A001094,402609,1.0
A001114,402609,1.0
A001156,402609,4.0
A001883,402609,6.0
A002104,402609,1.0
A002252,402609,1.0
A002409,402609,7.0
A002533,402609,1.0
A002537,402609,5.0
A002696,402609,6.0
A002703,402609,28.0
A002704,402609,14.0
A002878,402609,5.0
A002880,402609,1.0
A002883,402609,5.0
A002891,402609,2.0
A002978,402609,2.0
A003068,402609,2.0
A003210,402609,1.0
A003654,402609,10.0
A003785,402609,3.0
A003930,402609,15.0
A004150,402609,1.0
A004161,402609,4.0
A004162,402609,1.0
A004215,402609,1.0
A004293,402609,8.0
A004294,402609,17.0
A004332,402609,20.0
A004336,402609,2.0
A004339,402609,8.0
A004604,402609,1.0
A004714,402609,6.0
A004768,402609,4.0
A004782,402609,4.0
A004785,402609,2.0
A004798,402609,2.0
A004799,402609,4.0
A004808,402609,1.0
A006531,402609,1.0
A007526,402609,1.0
A007601,402609,119.0
A007635,402609,1.0
A008140,402609,6.0
A008726,402609,1.0
A008737,402609,2.0
A008957,402609,2.0
A009141,402609,19.0
A009334,402609,3.0
A010220,402609,3.0
A010491,402609,4.0
A010590,402609,1.0
A010782,402609,60.0
A012493,402609,13.0
A012500,402609,2.0
A012507,402609,6.0
A012530,402609,8.0
A012533,402609,2.0
A012536,402609,10.0
A012539,402609,189.0
A012544,402609,16.0
A012556,402609,5.0
A012593,402609,1.0
A012598,402609,24.0
A012620,402609,1.0
A012636,402609,1.0
A012638,402609,3.0
A012639,402609,34.0
A012648,402609,4.0
A012649,402609,2.0
A012650,402609,2.0
A012651,402609,3.0
A012652,402609,2.0
A012655,402609,1.0
A012657,402609,2.0
A012664,402609,8.0
A012665,402609,2.0
A012669,402609,3.0
A012676,402609,1.0
A012681,402609,10.0
A012685,402609,1.0
A012704,402609,2.0
A012705,402609,27.0
A012706,402609,1.0
A012711,402609,17.0
A012722,402609,4.0
A012723,402609,2.0
A012724,402609,2.0
A012726,402609,1.0
A012735,402609,4.0
A012736,402609,2.0
A012737,402609,2.0
A012738,402609,2.0
A012740,402609,2.0
A012741,402609,2.0
A012743,402609,2.0
A012749,402609,1.0
A012750,402609,3.0
A012779,402609,6.0
A012791,402609,44.0
A012801,402609,19.0
A012846,402609,2.0
A013135,402609,1.0
A013171,402609,5.0
A013191,402609,2.0
A013240,402609,12.0
A013249,402609,1.0
A013356,402609,2.0
A013573,402609,4.0
A013604,402609,1.0
A013627,402609,1.0
A014420,402609,1.0
A000164,011809,7.0
A000502,011809,28.0
A001593,011809,2.0
A002105,011809,1.0
A002658,011809,21.0
A002746,011809,10.0
A003454,011809,2.0
A009996,011809,9.0
A010315,011809,4.0
A011808,011809,7.0
A012607,011809,33.0
A014912,011809,10.0
A017892,011809,3.0
A018344,011809,2.0
A020907,011809,1.0
A022495,011809,1.0
A022518,011809,2.0
A026313,011809,2.0
A028011,011809,1.0
A000179,010406,5.0
A001368,010406,34.0
A013325,010406,2.0
A015070,010406,21.0
A021455,010406,16.0
A021784,010406,3.0
A024622,010406,2.0
A029763,010406,2.0
A000182,011013,7.0
A000533,011013,139.0
A001588,011013,7.0
A004792,011013,2.0
A005172,011013,1.0
A010840,011013,8.0
A011857,011013,2.0
A014426,011013,10.0
A015750,011013,2.0
A017455,011013,1.0
A018718,011013,3.0
A019073,011013,2.0
A019829,011013,1.0
A020644,011013,2.0
A020703,011013,2.0
A020723,011013,5.0
A020790,011013,3.0
A022215,011013,2.0
A027292,011013,9.0
A000183,012820,20.0
