location,aisle,x_length,y_width,z_height,heightfromfloor,cell_attractiveness,distance_from_io_to_aisle,fetch_tool,putaway_zone,fetch_zone,cell_volume,available_volume,percent_full
021210,2,14.025,-21.9875,3.5000000000000004,3.5000000000000004,0.0002831267098198,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.4876875,0.4195755,0.8603367935409458
021211,2,14.025,-21.9875,3.95,3.95,0.0002511308737157,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.4876875,0.4876875,1.0
021212,2,14.025,-21.9875,4.3,4.3,0.0002308409246333,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3786269160000001,0.9981925615422642
021213,2,14.025,-21.9875,4.65,4.65,0.0002135845087155,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3780965,0.9967942000329544
021214,2,14.025,-21.9875,4.999999999999999,4.999999999999999,0.0001987286335667,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3793125,1.0
021215,2,14.025,-21.9875,5.349999999999999,5.349999999999999,0.0001858049651731,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3793125,1.0
021216,2,14.025,-21.9875,5.699999999999998,5.699999999999998,0.0001744595570035,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021217,2,14.025,-21.9875,6.049999999999998,6.049999999999998,0.0001644199367394,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021218,2,14.025,-21.9875,6.399999999999998,6.399999999999998,0.0001554729389632,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021219,2,14.025,-21.9875,6.749999999999997,6.749999999999997,0.0001474494018162,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021220,2,14.025,-21.9875,7.099999999999997,7.099999999999997,0.0001402133696953,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021221,2,14.025,-21.9875,7.449999999999997,7.449999999999997,0.000133654326474,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021222,2,14.025,-21.9875,7.799999999999996,7.799999999999996,0.0001276815112383,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021223,2,14.025,-21.9875,8.149999999999995,8.149999999999995,0.0001222196929535,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021224,2,14.025,-21.9875,8.499999999999995,8.499999999999995,0.0001172059851236,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021225,2,14.025,-21.9875,8.849999999999994,8.849999999999994,0.0001125874135715,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021226,2,14.025,-21.9875,9.199999999999994,9.199999999999994,0.000108319037477,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021227,2,14.025,-21.9875,9.549999999999994,9.549999999999994,0.0001043624822094,31.9875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.3793125,0.3793125,1.0
021228,2,14.025,-21.9875,9.899999999999991,9.899999999999991,0.0001006847823761,31.9875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.3793125,0.3793125,1.0
021229,2,14.025,-21.9875,10.249999999999991,10.249999999999991,9.72574611669194e-05,31.9875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.3793125,0.3793125,1.0
021230,2,14.025,-21.9875,10.599999999999993,10.599999999999993,9.405579154414928e-05,31.9875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.3793125,0.3793125,1.0
021301,2,16.575000000000003,-21.9875,0.0,0.25,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.4876874999999999,1.0
021303,2,16.575000000000003,-21.9875,0.0,0.55,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.4876874999999999,1.0
021304,2,16.575000000000003,-21.9875,0.0,0.8499999999999999,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.0828749999999999,0.0828749999999999,1.0
021305,2,16.575000000000003,-21.9875,0.0,1.15,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.0828749999999999,0.0828749999999999,1.0
021306,2,16.575000000000003,-21.9875,0.0,1.45,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.0828749999999999,0.0828749999999999,1.0
021308,2,16.575000000000003,-21.9875,2.1,2.1,0.0004690459020045,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,1.05665625,1.05665625,1.0
021309,2,16.575000000000003,-21.9875,2.5500000000000003,2.5500000000000003,0.0003872985442415,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.1243125,0.1243125,1.0
021310,2,16.575000000000003,-21.9875,3.0000000000000004,3.0000000000000004,0.0003298166631623,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.1243125,0.1243125,1.0
021311,2,16.575000000000003,-21.9875,3.4500000000000006,3.4500000000000006,0.0002871923003744,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.1243125,0.1243125,1.0
021312,2,16.575000000000003,-21.9875,3.8000000000000007,3.8000000000000007,0.0002609611852857,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.0966875,0.0966875,1.0
021313,2,16.575000000000003,-21.9875,4.15,4.15,0.0002391207529912,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.0966875,0.07926129999999999,0.8197678086619262
021315,2,16.575000000000003,-21.9875,4.800000000000001,4.800000000000001,0.0002069541777581,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,1.05665625,1.05665625,1.0
021316,2,16.575000000000003,-21.9875,5.250000000000001,5.250000000000001,0.0001893226744667,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.1243125,0.1243125,1.0
021317,2,16.575000000000003,-21.9875,5.700000000000001,5.700000000000001,0.0001744595570035,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.1243125,0.1243125,1.0
021318,2,16.575000000000003,-21.9875,6.150000000000001,6.150000000000001,0.0001617602753159,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.1243125,0.1243125,1.0
021319,2,16.575000000000003,-21.9875,6.500000000000001,6.500000000000001,0.0001530927608174,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.0966875,0.0966875,1.0
021320,2,16.575000000000003,-21.9875,6.950000000000001,6.950000000000001,0.0001432256932571,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.1243125,0.1243125,1.0
021321,2,16.575000000000003,-21.9875,7.400000000000001,7.400000000000001,0.0001345535094078,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.1243125,0.1243125,1.0
021322,2,16.575000000000003,-21.9875,7.850000000000001,7.850000000000001,0.0001268715536531,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.1243125,0.1243125,1.0
021323,2,16.575000000000003,-21.9875,8.200000000000003,8.200000000000003,0.0001214773467525,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.0966875,0.0966875,1.0
021324,2,16.575000000000003,-21.9875,8.55,8.55,0.0001165231247423,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.0966875,0.0966875,1.0
021325,2,16.575000000000003,-21.9875,8.9,8.9,0.0001119571651885,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.0966875,0.0966875,1.0
021326,2,16.575000000000003,-21.9875,9.25,9.25,0.0001077355469397,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.0966875,0.0966875,1.0
021327,2,16.575000000000003,-21.9875,9.6,9.6,0.0001038207327407,31.9875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.0966875,0.0966875,1.0
