location,location_id
012702,573
012703,574
012704,575
012705,576
012706,577
012707,578
012708,579
012709,580
012710,581
012711,582
012712,583
012713,584
012714,585
012715,586
012716,587
012717,588
012718,589
012719,590
012720,591
012721,592
012722,593
012723,594
012724,595
012725,596
012726,597
012727,598
012728,599
012729,600
012730,601
012801,602
012802,603
012803,604
012804,605
012805,606
012807,607
012808,608
012809,609
012810,610
012811,611
012812,612
012813,613
012815,614
012816,615
012817,616
012818,617
012819,618
012820,619
012821,620
012822,621
012823,622
012824,623
012825,624
012826,625
012827,626
012901,627
012903,628
012904,629
012905,630
012906,631
012907,632
012909,633
012910,634
012911,635
012912,636
012913,637
012914,638
012915,639
012916,640
012917,641
012918,642
012919,643
012920,644
012921,645
012922,646
012923,647
012924,648
012925,649
012926,650
012927,651
012928,652
012929,653
012930,654
013001,655
013003,656
013005,657
013007,658
013009,659
013011,660
013013,661
013015,662
013017,663
013019,664
013021,665
013023,666
013024,667
013025,668
013026,669
013027,670
020101,671
020102,672
020103,673
020104,674
020105,675
020106,676
020107,677
020108,678
020109,679
020110,680
020111,681
020112,682
020113,683
020115,684
020116,685
020117,686
020118,687
020119,688
020120,689
020121,690
020122,691
020123,692
020124,693
020125,694
020126,695
020127,696
020201,697
020202,698
020203,699
020204,700
020205,701
020206,702
020207,703
020208,704
020209,705
020210,706
020211,707
020212,708
020213,709
020214,710
020215,711
020216,712
020217,713
020218,714
020219,715
020220,716
020221,717
020222,718
020223,719
020224,720
020225,721
020226,722
020227,723
020228,724
020229,725
020230,726
020301,727
020302,728
020303,729
020304,730
020305,731
020306,732
020307,733
020308,734
020309,735
020310,736
020311,737
020312,738
020313,739
020315,740
020316,741
020317,742
020318,743
020319,744
020320,745
020321,746
020322,747
020323,748
020324,749
020325,750
020326,751
020327,752
020401,753
020402,754
020403,755
020404,756
020405,757
020406,758
020407,759
020408,760
020409,761
020410,762
020411,763
020412,764
020413,765
020414,766
020415,767
020416,768
020417,769
020418,770
020419,771
020420,772
020421,773
020422,774
020423,775
020424,776
020425,777
020426,778
020427,779
020428,780
020429,781
020430,782
020501,783
020502,784
020503,785
020504,786
020505,787
020506,788
020507,789
020508,790
020509,791
020510,792
020511,793
020512,794
020513,795
020515,796
020516,797
020517,798
020518,799
020519,800
020520,801
020521,802
020522,803
020523,804
020524,805
020525,806
020526,807
020527,808
020601,809
020602,810
020603,811
020604,812
020605,813
020606,814
020607,815
020608,816
020609,817
020610,818
020611,819
020612,820
020613,821
020614,822
020615,823
020616,824
020617,825
020618,826
020619,827
020620,828
020621,829
020622,830
020623,831
020624,832
020625,833
020626,834
020627,835
020628,836
020629,837
020630,838
020701,839
020702,840
020703,841
020704,842
020705,843
020706,844
020707,845
020708,846
020709,847
020710,848
020711,849
020712,850
020713,851
020715,852
020716,853
020717,854
020718,855
020719,856
020720,857
020721,858
020722,859
020723,860
020724,861
020725,862
020726,863
020727,864
020801,865
020802,866
020803,867
020804,868
020805,869
020806,870
020807,871
020808,872
020809,873
020810,874
020811,875
020812,876
020813,877
020814,878
020815,879
020816,880
020817,881
020818,882
020819,883
020820,884
020821,885
020822,886
020823,887
020824,888
020825,889
020826,890
020827,891
020828,892
020829,893
020830,894
020901,895
020902,896
020903,897
020904,898
020905,899
020906,900
020907,901
020908,902
020909,903
020910,904
020911,905
020912,906
020913,907
020915,908
020916,909
020917,910
020918,911
020919,912
020920,913
020921,914
020922,915
020923,916
020924,917
020925,918
020926,919
020927,920
021001,921
021002,922
021003,923
021004,924
021005,925
021006,926
021007,927
021008,928
021009,929
021010,930
021011,931
021012,932
021013,933
021014,934
021015,935
021016,936
021017,937
021018,938
021019,939
021020,940
021021,941
021022,942
021023,943
021024,944
021025,945
021026,946
021027,947
021028,948
021029,949
021030,950
021101,951
021102,952
021103,953
021104,954
021105,955
021106,956
021107,957
021108,958
021109,959
021110,960
021111,961
021112,962
021113,963
021115,964
021116,965
021117,966
021118,967
021119,968
021120,969
021121,970
021122,971
021123,972
021124,973
021125,974
021126,975
021127,976
021201,977
021202,978
021203,979
021204,980
021205,981
021206,982
021207,983
021208,984
021209,985
021210,986
021211,987
021212,988
021213,989
021214,990
021215,991
021216,992
021217,993
021218,994
021219,995
021220,996
021221,997
021222,998
021223,999
021224,1000
021225,1001
021226,1002
021227,1003
021228,1004
021229,1005
021230,1006
021301,1007
021303,1008
021304,1009
021305,1010
021306,1011
021308,1012
021309,1013
021310,1014
021311,1015
021312,1016
021313,1017
021315,1018
021316,1019
021317,1020
021318,1021
021319,1022
021320,1023
021321,1024
021322,1025
021323,1026
021324,1027
021325,1028
021326,1029
021327,1030
021401,1031
021403,1032
021404,1033
021405,1034
021406,1035
021407,1036
021409,1037
021410,1038
021411,1039
021412,1040
021413,1041
021414,1042
021415,1043
021416,1044
021417,1045
021418,1046
021419,1047
021420,1048
021421,1049
021422,1050
021423,1051
021424,1052
021425,1053
021426,1054
021427,1055
021428,1056
021429,1057
021430,1058
021501,1059
021502,1060
021503,1061
021504,1062
021505,1063
021506,1064
021507,1065
021508,1066
021509,1067
021510,1068
021511,1069
021512,1070
021513,1071
021515,1072
021516,1073
021517,1074
021518,1075
021519,1076
021520,1077
021521,1078
021522,1079
021523,1080
