"location","aisle","bay","loclevel","x_length","y_width","z_height","heightfromfloor","attractiveness","distance_from_io_to_aisle","fetch_tool","putaway_zone","fetch_zone","volume","available_volume"
"010405","01",4,5,3.8249999999999997,-24.798750000000002,0.0,1.45,0.02589080552768698,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010406","01",4,6,4.78125,-24.798750000000002,0.0,1.75,0.025265285497726126,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.6096093749999999,0.6096093749999999
"010407","01",4,7,3.8249999999999997,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010408","01",4,8,5.215909090909091,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.9421235795454543,0.9421235795454543
"010409","01",4,9,3.8249999999999997,-24.798750000000002,3.025,3.025,0.00032681887983645986,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010410","01",4,10,1.7386363636363635,-24.798750000000002,3.4499999999999997,3.4499999999999997,0.0002869606171661994,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.9421235795454543,0.9421235795454543
"010411","01",4,11,3.8249999999999997,-24.798750000000002,3.8749999999999996,3.8749999999999996,0.00025576764021421823,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010412","01",4,12,1.9125,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.0363359375,1.0363359375
"010413","01",4,13,3.8249999999999997,-24.798750000000002,4.95,4.95,0.00020060990426143082,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010415","01",4,15,3.8249999999999997,-24.798750000000002,5.6000000000000005,5.6000000000000005,0.00017746862742879679,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010417","01",4,17,3.8249999999999997,-24.798750000000002,6.250000000000001,6.250000000000001,0.0001591140845997654,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
